description,error,success,path,brief_description,group,correct,total
CompilationError('run_dir/CALCULATE_VOLUME_DODECAHEDRON.d(7): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,CALCULATE_VOLUME_DODECAHEDRON.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/FIND_HARMONIC_MEAN_USING_ARITHMETIC_MEAN_GEOMETRIC_MEAN.d(10): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,FIND_HARMONIC_MEAN_USING_ARITHMETIC_MEAN_GEOMETRIC_MEAN.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/PROGRAM_CALCULATE_AREA_OCTAGON.d(7): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,PROGRAM_CALCULATE_AREA_OCTAGON.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON.d(7): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/FIND_SUM_ODD_FACTORS_NUMBER.d(10): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,FIND_SUM_ODD_FACTORS_NUMBER.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/CALCULATE_AREA_TETRAHEDRON.d(7): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,CALCULATE_AREA_TETRAHEDRON.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/SUM_OF_ALL_PROPER_DIVISORS_OF_A_NATURAL_NUMBER.d(8): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,SUM_OF_ALL_PROPER_DIVISORS_OF_A_NATURAL_NUMBER.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/SUM_FACTORS_NUMBER.d(8): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,SUM_FACTORS_NUMBER.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/K_TH_PRIME_FACTOR_GIVEN_NUMBER.d(12): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,K_TH_PRIME_FACTOR_GIVEN_NUMBER.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/AREA_OF_A_HEXAGON.d(7): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,AREA_OF_A_HEXAGON.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
CompilationError('run_dir/FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE_2.d(8): Error: found `>` when expecting `;` following statement `unordered_set < (int)` on line run_dir/FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE_2.d(8)\n'),Compilation,False,FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE_2.d,Error: found `>` when expecting `;` following statement `unordered_set < (int)` on line run_dir/FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE_2.d(8),10,,
"CompilationError('run_dir/MAXIMUM_BINOMIAL_COEFFICIENT_TERM_VALUE.d(7): Error: found `,` when expecting `]`\nrun_dir/MAXIMUM_BINOMIAL_COEFFICIENT_TERM_VALUE.d(7): Error: semicolon needed to end declaration of `n` instead of `+`\nrun_dir/MAXIMUM_BINOMIAL_COEFFICIENT_TERM_VALUE.d(7): Error: found `]` when expecting `;` following statement `+1` on line run_dir/MAXIMUM_BINOMIAL_COEFFICIENT_TERM_VALUE.d(7)\n')",Compilation,False,MAXIMUM_BINOMIAL_COEFFICIENT_TERM_VALUE.d,"Error: found `,` when expecting `]`",10,,
"CompilationError('run_dir/SUBARRAYS_DISTINCT_ELEMENTS.d(7): Error: found `>` when expecting `;` following statement `Set < (int)` on line run_dir/SUBARRAYS_DISTINCT_ELEMENTS.d(7)\nrun_dir/SUBARRAYS_DISTINCT_ELEMENTS.d(7): Error: expression expected, not `>`\n')",Compilation,False,SUBARRAYS_DISTINCT_ELEMENTS.d,Error: found `>` when expecting `;` following statement `Set < (int)` on line run_dir/SUBARRAYS_DISTINCT_ELEMENTS.d(7),10,,
"CompilationError('run_dir/COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER.d(9): Error: found `>` when expecting `;` following statement `Stack < (int)` on line run_dir/COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER.d(9)\nrun_dir/COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER.d(9): Error: expression expected, not `>`\n')",Compilation,False,COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER.d,Error: found `>` when expecting `;` following statement `Stack < (int)` on line run_dir/COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER.d(9),10,,
"CompilationError('run_dir/MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d(7): Error: found `>` when expecting `;` following statement `Set < (int)` on line run_dir/MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d(7)\nrun_dir/MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d(7): Error: found `>` when expecting `;` following statement `s = new HashSet < (int)` on line run_dir/MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d(7)\nrun_dir/MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d(7): Error: expression expected, not `)`\nrun_dir/MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d(7): Error: found `;` when expecting `)`\nrun_dir/MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d(8): Error: found `int` when expecting `;` following statement `0` on line run_dir/MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d(7)\n')",Compilation,False,MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d,Error: found `>` when expecting `;` following statement `Set < (int)` on line run_dir/MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1.d(7),10,,
"CompilationError('run_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(7): Error: found `>` when expecting `;` following statement `LinkedHashSet < (int)` on line run_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(7)\nrun_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(7): Error: found `>` when expecting `;` following statement `s = new LinkedHashSet < (int)` on line run_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(7)\nrun_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(7): Error: expression expected, not `)`\nrun_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(7): Error: found `;` when expecting `)`\nrun_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(8): Error: found `for` when expecting `;` following statement `0` on line run_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(7)\nrun_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(8): Error: unexpected identifier `i` in declarator\nrun_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(8): Error: found `;` when expecting `)`\nrun_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(8): Error: found `i` when expecting `;` following statement `(int) = 0` on line run_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(8)\nrun_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(8): Error: found `<` instead of statement\nrun_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(8): Error: found `)` when expecting `;` following statement `i++` on line run_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(8)\n')",Compilation,False,K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d,Error: found `>` when expecting `;` following statement `LinkedHashSet < (int)` on line run_dir/K_TH_MISSING_ELEMENT_INCREASING_SEQUENCE_NOT_PRESENT_GIVEN_SEQUENCE.d(7),10,,
CompilationError('run_dir/FIND_EXPRESSION_DUPLICATE_PARENTHESIS_NOT.d(7): Error: found `>` when expecting `;` following statement `Stack < (char)` on line run_dir/FIND_EXPRESSION_DUPLICATE_PARENTHESIS_NOT.d(7)\n'),Compilation,False,FIND_EXPRESSION_DUPLICATE_PARENTHESIS_NOT.d,Error: found `>` when expecting `;` following statement `Stack < (char)` on line run_dir/FIND_EXPRESSION_DUPLICATE_PARENTHESIS_NOT.d(7),10,,
"CompilationError('run_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(9): Error: found `>` when expecting `;` following statement `Vector < (long)` on line run_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(9)\nrun_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(9): Error: found `>` when expecting `;` following statement `s = new Vector < (long)` on line run_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(9)\nrun_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(9): Error: expression expected, not `)`\nrun_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(9): Error: found `;` when expecting `)`\nrun_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(10): Error: found `for` when expecting `;` following statement `0` on line run_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(9)\nrun_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(10): Error: found `;` when expecting `)`\nrun_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(10): Error: found `i` when expecting `;` following statement `i = 0 , j = n - 1` on line run_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(10)\nrun_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(10): Error: found `<` instead of statement\nrun_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(10): Error: found `)` when expecting `;` following statement `i++ , j--` on line run_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(10)\n')",Compilation,False,MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d,Error: found `>` when expecting `;` following statement `Vector < (long)` on line run_dir/MINIMUM_DIFFERENCE_BETWEEN_GROUPS_OF_SIZE_TWO.d(9),10,,
"CompilationError('run_dir/REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d(10): Error: found `>` when expecting `;` following statement `Stack < (int)` on line run_dir/REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d(10)\nrun_dir/REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d(10): Error: found `>` when expecting `;` following statement `s = new Stack < (int)` on line run_dir/REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d(10)\nrun_dir/REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d(10): Error: expression expected, not `)`\nrun_dir/REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d(10): Error: found `;` when expecting `)`\nrun_dir/REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d(11): Error: found `s` when expecting `;` following statement `0` on line run_dir/REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d(10)\n')",Compilation,False,REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d,Error: found `>` when expecting `;` following statement `Stack < (int)` on line run_dir/REMOVE_BRACKETS_ALGEBRAIC_STRING_CONTAINING_OPERATORS.d(10),10,,
CompilationError('run_dir/COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY_1.d(8): Error: found `>` when expecting `;` following statement `unordered_set < (int)` on line run_dir/COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY_1.d(8)\n'),Compilation,False,COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY_1.d,Error: found `>` when expecting `;` following statement `unordered_set < (int)` on line run_dir/COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY_1.d(8),10,,
CompilationError('run_dir/WILDCARD_CHARACTER_MATCHING.d(9): Error: no property `substring` for `first` of type `string`\nrun_dir/WILDCARD_CHARACTER_MATCHING.d(9): Error: no property `substring` for `second` of type `string`\nrun_dir/WILDCARD_CHARACTER_MATCHING.d(10): Error: no property `substring` for `first` of type `string`\nrun_dir/WILDCARD_CHARACTER_MATCHING.d(10): Error: no property `substring` for `second` of type `string`\n'),Compilation,False,WILDCARD_CHARACTER_MATCHING.d,Error: no property `substring` for `first` of type `string`,11,,
"CompilationError('run_dir/CALCULATE_ANGLE_HOUR_HAND_MINUTE_HAND.d(9): Error: identifier or `new` expected following `.`, not `out`\nrun_dir/CALCULATE_ANGLE_HOUR_HAND_MINUTE_HAND.d(11): Error: C style cast illegal, use `cast(int)(0.5 * (h * 60 + m))`\nrun_dir/CALCULATE_ANGLE_HOUR_HAND_MINUTE_HAND.d(12): Error: C style cast illegal, use `cast(int)(6 * m)`\n')",Compilation,False,CALCULATE_ANGLE_HOUR_HAND_MINUTE_HAND.d,"Error: identifier or `new` expected following `.`, not `out`",12,,
"CompilationError('run_dir/REMOVE_MINIMUM_ELEMENTS_EITHER_SIDE_2MIN_MAX.d(9): Error: identifier or `new` expected following `.`, not `int`\nrun_dir/REMOVE_MINIMUM_ELEMENTS_EITHER_SIDE_2MIN_MAX.d(9): Error: identifier or `new` expected following `.`, not `int`\n')",Compilation,False,REMOVE_MINIMUM_ELEMENTS_EITHER_SIDE_2MIN_MAX.d,"Error: identifier or `new` expected following `.`, not `int`",12,,
"CompilationError('run_dir/MAXIMUM_SUBARRAY_SUM_ARRAY_CREATED_REPEATED_CONCATENATION.d(8): Error: identifier or `new` expected following `.`, not `int`\n')",Compilation,False,MAXIMUM_SUBARRAY_SUM_ARRAY_CREATED_REPEATED_CONCATENATION.d,"Error: identifier or `new` expected following `.`, not `int`",12,,
CompilationError('run_dir/FIND_THREE_ELEMENT_FROM_DIFFERENT_THREE_ARRAYS_SUCH_THAT_THAT_A_B_C_K_1.d(7): Error: template instance `HashSet!int` template `HashSet` is not defined\nrun_dir/FIND_THREE_ELEMENT_FROM_DIFFERENT_THREE_ARRAYS_SUCH_THAT_THAT_A_B_C_K_1.d(11): Error: template instance `ArrayList!int` template `ArrayList` is not defined\n'),Compilation,False,FIND_THREE_ELEMENT_FROM_DIFFERENT_THREE_ARRAYS_SUCH_THAT_THAT_A_B_C_K_1.d,Error: template instance `HashSet!int` template `HashSet` is not defined,13,,
CompilationError('run_dir/STEINS_ALGORITHM_FOR_FINDING_GCD_1.d(10): Error: `1 == 1` must be surrounded by parentheses when next to operator `&`\nrun_dir/STEINS_ALGORITHM_FOR_FINDING_GCD_1.d(11): Error: `1 == 1` must be surrounded by parentheses when next to operator `&`\nrun_dir/STEINS_ALGORITHM_FOR_FINDING_GCD_1.d(14): Error: `1 == 1` must be surrounded by parentheses when next to operator `&`\n'),Compilation,False,STEINS_ALGORITHM_FOR_FINDING_GCD_1.d,Error: `1 == 1` must be surrounded by parentheses when next to operator `&`,14,,
CompilationError('run_dir/STEINS_ALGORITHM_FOR_FINDING_GCD.d(11): Error: `1 == 0` must be surrounded by parentheses when next to operator `&`\nrun_dir/STEINS_ALGORITHM_FOR_FINDING_GCD.d(16): Error: `1 == 0` must be surrounded by parentheses when next to operator `&`\nrun_dir/STEINS_ALGORITHM_FOR_FINDING_GCD.d(19): Error: `1 == 0` must be surrounded by parentheses when next to operator `&`\n'),Compilation,False,STEINS_ALGORITHM_FOR_FINDING_GCD.d,Error: `1 == 0` must be surrounded by parentheses when next to operator `&`,14,,
CompilationError('run_dir/CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1.d(7): Error: `1 == 0` must be surrounded by parentheses when next to operator `&`\n'),Compilation,False,CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1.d,Error: `1 == 0` must be surrounded by parentheses when next to operator `&`,14,,
CompilationError('run_dir/MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1.d(7): Error: variable `k` cannot be read at compile time\nrun_dir/MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1.d(11): Error: undefined identifier `INT_MIN`\n'),Compilation,False,MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_K_TIMES_1.d,Error: variable `k` cannot be read at compile time,15,,
"TestRuntimeError(""Result does not conform to pattern: ''"")",RuntimeError,False,SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS.d,"TestRuntimeError(""Result does not conform to pattern: ''"")",16,,
TestRuntimeError('core.exception.ArrayIndexError@run_dir/MAXIMUM_GAMES_PLAYED_WINNER.d(12): index [73] is out of bounds for array of length 73\n'),RuntimeError,False,MAXIMUM_GAMES_PLAYED_WINNER.d,TestRuntimeError('core.exception.ArrayIndexError@run_dir/MAXIMUM_GAMES_PLAYED_WINNER.d(12): index [73] is out of bounds for array of length 73\n'),16,,
CompilationError('run_dir/MINIMUM_ROTATIONS_REQUIRED_GET_STRING.d(7): Error: invalid array operation `str + str` (possible missing [])\nrun_dir/MINIMUM_ROTATIONS_REQUIRED_GET_STRING.d(7):        did you mean to concatenate (`str ~ str`) instead ?\nrun_dir/MINIMUM_ROTATIONS_REQUIRED_GET_STRING.d(8): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\nrun_dir/MINIMUM_ROTATIONS_REQUIRED_GET_STRING.d(10): Error: no property `substring` for `tmp` of type `string`\n'),Compilation,False,MINIMUM_ROTATIONS_REQUIRED_GET_STRING.d,Error: invalid array operation `str + str` (possible missing []),17,,
"CompilationError('run_dir/DECIMAL_BINARY_CONVERSION_WITHOUT_USING_ARITHMETIC_OPERATORS.d(11): Error: invalid array operation `((n & 1) == 0 ? ""0"" : ""1"") + bin` (possible missing [])\nrun_dir/DECIMAL_BINARY_CONVERSION_WITHOUT_USING_ARITHMETIC_OPERATORS.d(11):        did you mean to concatenate (`((n & 1) == 0 ? ""0"" : ""1"") ~ bin`) instead ?\n')",Compilation,False,DECIMAL_BINARY_CONVERSION_WITHOUT_USING_ARITHMETIC_OPERATORS.d,"Error: invalid array operation `((n & 1) == 0 ? ""0"" : ""1"") + bin` (possible missing [])",17,,
"CompilationError('run_dir/FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X.d(8): Deprecation: function `std.math.exponential.log2` is deprecated - `std.math.exponential.log2` called with argument types `(long)` matches both `log2(real)`, `log2(double)`, and `log2(float)`. Cast argument to floating point type instead.\n')",Compilation,False,FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X.d,"CompilationError('run_dir/FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X.d(8): Deprecation: function `std.math.exponential.log2` is deprecated - `std.math.exponential.log2` called with argument types `(long)` matches both `log2(real)`, `log2(double)`, and `log2(float)`. Cast argument to floating point type instead.\n')",18,,
CompilationError('run_dir/SUM_MATRIX_ELEMENT_ABSOLUTE_DIFFERENCE_ROW_COLUMN_NUMBERS.d(8): Error: variable `n` cannot be read at compile time\n'),Compilation,False,SUM_MATRIX_ELEMENT_ABSOLUTE_DIFFERENCE_ROW_COLUMN_NUMBERS.d,Error: variable `n` cannot be read at compile time,19,,
CompilationError('run_dir/COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE.d(7): Error: variable `n` cannot be read at compile time\n'),Compilation,False,COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE.d,Error: variable `n` cannot be read at compile time,19,,
CompilationError('run_dir/BELL_NUMBERS_NUMBER_OF_WAYS_TO_PARTITION_A_SET.d(7): Error: variable `n` cannot be read at compile time\n'),Compilation,False,BELL_NUMBERS_NUMBER_OF_WAYS_TO_PARTITION_A_SET.d,Error: variable `n` cannot be read at compile time,19,,
CompilationError('run_dir/DICE_THROW_PROBLEM.d(7): Error: variable `n` cannot be read at compile time\n'),Compilation,False,DICE_THROW_PROBLEM.d,Error: variable `n` cannot be read at compile time,19,,
CompilationError('run_dir/COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1.d(7): Error: variable `n` cannot be read at compile time\n'),Compilation,False,COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1.d,Error: variable `n` cannot be read at compile time,19,,
CompilationError('run_dir/EULERIAN_NUMBER_1.d(7): Error: variable `n` cannot be read at compile time\n'),Compilation,False,EULERIAN_NUMBER_1.d,Error: variable `n` cannot be read at compile time,19,,
CompilationError('run_dir/ADD_1_TO_A_GIVEN_NUMBER.d(9): Error: `m >= 1` must be surrounded by parentheses when next to operator `&`\n'),Compilation,False,ADD_1_TO_A_GIVEN_NUMBER.d,Error: `m >= 1` must be surrounded by parentheses when next to operator `&`,20,,
CompilationError('run_dir/FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7.d(9): Error: `switch` statement without a `default`; use `final switch` or add `default: assert(0);` or add `default: break;`\n'),Compilation,False,FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7.d,Error: `switch` statement without a `default`; use `final switch` or add `default: assert(0);` or add `default: break;`,21,,
"CompilationError('run_dir/CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1.d(11): Error: use `{ }` for an empty statement, not `;`\n')",Compilation,False,CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1.d,"Error: use `{ }` for an empty statement, not `;`",22,,
CompilationError('run_dir/PRINT_WORDS_STRING_REVERSE_ORDER.d(11): Error: unterminated character constant\nrun_dir/PRINT_WORDS_STRING_REVERSE_ORDER.d(14): Error: unterminated character constant\n'),Compilation,False,PRINT_WORDS_STRING_REVERSE_ORDER.d,Error: unterminated character constant,23,,
CompilationError('run_dir/CHECK_GIVEN_SENTENCE_GIVEN_SET_SIMPLE_GRAMMER_RULES.d(16): Error: unterminated character constant\n'),Compilation,False,CHECK_GIVEN_SENTENCE_GIVEN_SET_SIMPLE_GRAMMER_RULES.d,Error: unterminated character constant,23,,
CompilationError('run_dir/PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE.d(16): Error: unterminated character constant\n'),Compilation,False,PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE.d,Error: unterminated character constant,23,,
